section,object_name,item_name,details
column,properties,status,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":12}"
column,properties,submitter_name,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":29}"
column,properties,submitter_phone,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":30}"
column,properties,submitter_type,"{""udt_name"":""submitter_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":28}"
column,properties,total_floor,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":41}"
column,properties,updated_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":27}"
column,properties,use_approval,"{""udt_name"":""date"",""data_type"":""date"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":11}"
column,property_activity_logs,action_date,"{""udt_name"":""date"",""data_type"":""date"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":9}"
column,property_activity_logs,action_type,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":8}"
column,property_activity_logs,actor_id,"{""udt_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":6}"
column,property_activity_logs,actor_name,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":7}"
column,property_activity_logs,changed_fields,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""is_nullable"":""NO"",""column_default"":""'[]'::jsonb"",""ordinal_position"":10}"
column,property_activity_logs,created_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":12}"
column,property_activity_logs,id,"{""udt_name"":""int8"",""data_type"":""bigint"",""is_nullable"":""NO"",""column_default"":""nextval('property_activity_logs_id_seq'::regclass)"",""ordinal_position"":1}"
column,property_activity_logs,note,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":11}"
column,property_activity_logs,property_address,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":5}"
column,property_activity_logs,property_id,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":2}"
column,property_activity_logs,property_identity_key,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":3}"
column,property_activity_logs,property_item_no,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":4}"
